username,content
VentressAsajj," AnilloTuitero None C++ ComandosLinux Una descripción de los comandos curiosos que tiene Linux, algunos muy útiles.  Doble-Factor-de-Autenticacion-2FA Howto para activar el doble factor de autenticación en ssh  download_with_tor None Python ESP8266-pHAT Uso de ESP8266 pHAT de Pimoroni con Raspberry Pi Zero Python FPGAs Mis proyectos de FPGAs  Hacking Notas sobre ""hackerismo"" :D  LCD_Matrix8x8_Zumbador_Leds None Arduino MakeyMakey Este proyecto comienza con la realización de un piano con pintura conductiva y arduino para terminar sustiuyendo el arduino por una fpga C++ C Malware Recopilación de enlaces para análisis de Malware. También se realizará descarga de automática, worlflows, de los feeds para crear un repositorio de feeds.  Nespresso Proyecto de reconocimiento capsulas de Nespresso con arduino C++ PaloAltoExternalDynamicList Listas dinámicas del Palo Alto. Roff Recursos_CTFs lista de recursos CTF Python DIGITAL Command Language searchFavicoShodan Busca en Shodan el hash del fichero favicon.ico. La busqueda la puede hacer en servicios ocultos. Python Servos_Joystick Uso de servos con el shield de arduino Arduino SplitFile split a file Python ssh2Telegram Enviando notificaciones de inicios sesión ssh a telegram Shell test None  VentressAsajj.github.io None HTML"
UbuntuStrike," cheat-sheets list of Cyber Security cheat sheets  CookieStealer.php A PHP script to run on your server to grab cookies through xss PHP CVE-2017-9805-Apache-Struts-Fuzz-N-Sploit A script to Fuzz and and exploit Apache struts CVE-2017-9805 Python DaVinci-Resolve-cheats helpful DaVinci resolve shortcuts and commands  not-so-evil-WinRM Just a plain WinRM Client to connect to Windows Remote Management from Linux Ruby OpSec-Package None Shell python-tools-BHPython None Python setup None Shell Str1k3-Tor-Router A script to automate the creation of a ""TOR"" router on Debian based systems including Raspberry Pi and install the required tools to do so. Shell struts_rest_rce_fuzz-CVE-2017-9805- Simple python script to fuzz site for CVE-2017-9805 Python test just testing something JavaScript PHP UbuntuStrike_64-with-intel-drivers Version of Strike with added intel graphics drivers Please download From Mega. This is just my custom pentest OS built on ubuntu 16.04 I thought d share with the world ! ENJOY :V  "
dpk777, IndAC_assinments None  Verilog_Projects None Verilog Coq
KiranDon, 3D-rotating-image-cube None CSS HTML Accordion None HTML CSS Athena-Hack-Hackathon- None HTML JavaScript CSS Authentication-Secrets None JavaScript EJS CSS Blog-using-node-js-and-ejs None JavaScript EJS CSS Calculator None JavaScript HTML CSS covid None HTML CSS PHP covid-19 None HTML CSS PHP DataStructures None C C++ getting_mails_for_mailchimp None HTML JavaScript CSS IIITH_SUMMER_INTERNSHIP_TASK This is a Text Classification task which was assigned to us as part of summer internship at IIIT Hyderabad. Jupyter Notebook JS30Challenge None JavaScript HTML CSS KiranDon None  LGMVIP-WebDev None HTML CSS JavaScript Rent_It None EJS CSS JavaScript HTML rock-paper-scissors None JavaScript CSS HTML SearchingInHtmlTables None JavaScript CSS HTML SimonGame-Memory-game- None JavaScript CSS HTML Sorting-Html-Table-Using-Js None JavaScript HTML CSS Sparks_Foundation_Internship None HTML CSS PHP JavaScript Hack The-Complete-JavaScript-Course-2021-Projects None JavaScript HTML CSS SCSS ToDo_List_app None JavaScript CSS HTML USER_AUTHENTICATION_-edgroom_task- None PHP JavaScript CSS Hack HTML Vj-Dhaba None HTML CSS JavaScript Weather-data-using-node-js None 
codingshot," cake-kitty None TypeScript JavaScript HTML codingshot None  DonorBaseline MVP presentation of proprietary 501c3 donation platform with baseline integration JavaScript organicsDAO A DAO centered around wellness and organic products TypeScript HTML CSS pancake100-uikit None TypeScript JavaScript HTML random-data None  the-wire-encryption A visualizer of the Jump the Five encryption from the HBO series ""The Wire"" HTML"
Captain272, bloakchain-implementation It is a basic implementation of blockchain. HTML Python Captain272 IN PROCESS  cpp_code_base None C++ C Python Makefile cryptera_website This is a basic static website built for university event JavaScript HTML CSS Java ctfd-invaders None CSS JavaScript HTML Data_analyser None  E-voting-using-blockchain This is a DAPP built using Blockchain technology. And deployed in local virtual blockchain network ganache. CSS JavaScript HTML Python Solidity PHP Empty_parking_slot Detect the empty slots in the parking place Python Image-Denoising In this we have worked on image denoising using rednet and compared various networks. Jupyter Notebook PureBasic Python Initial-dev-offering Finds the perfect dev for your job Jupyter Notebook insta-bot The following re the features of the bot  Paint-app-using-canvas This a paint app made using canvas.  Paint-App-using-canvas- The app is to draw rectangles by dragging the mouse JavaScript CSS HTML Pollutant-data-collection-using-selenium This is collection of pollutant data from a website using selenium. The main gist of project is finding  the relation between amount of pollutants and number of corona cases in various regions in india. Jupyter Notebook Python profile This is the webite for showing my profile using githubpages. HTML CSS self_driving_car_using_reinforcement_learning this is a basic demonstration of self driving car using reinforcement learning in python using kivy Python Spark-Foundation these are work done in spark foundation Jupyter Notebook strawhat_intern None Rust To-do-app This is a simple to-do application HTML xcvhbjnm None 
SatuluriDeepak, Basic-Competitive-Questions None Java Basic-Interview-Questions None Java ConnectMe None Java Design-Patterns None Java dotNet None  Hacker-Earth-Problems None Java C++ Live-News None JavaScript NotesWebApp None Java TypeScript HTML SCSS JavaScript Projects None  Spring-and-Spring-Boot None  WebView None Java
sh15h4nk, fedora_codein None Python json-webui-generator This repo is to test out some webui generators from JSON schema. JavaScript TypeScript HTML CSS ParadigmCTF-Solhana None Rust JavaScript TypeScript Dockerfile pyl0x None Python rust rust Rust Teckzite-2021 None HTML CSS Python JavaScript Shell Teckzite-2021-AdminPanel admin panel for teckzite 2021 JavaScript HTML Python CSS SCSS Mako
iphelix," airoscapy Airoscapy is a passive wireless access point scanner similar to Kismet and Aircrack. Python blockchain-developer-bootcamp-final-project None  chocolatey-packages None PowerShell ctc-eth-challenge None Python dnschef DNSChef - DNS proxy for Penetration Testers and Malware Analysts Python exploits Collection of PoCs and exploits Python Assembly exploits-defi Collection of PoCs and exploits for DeFi and other Ethereum projects Solidity Python ida-patcher IDA Patcher is a plugin for Hex-Ray's IDA Pro disassembler designed to enhance IDA's ability to patch binary files and memory. Python ida-pomidor IDA Pomidor is a plugin for Hex-Ray's IDA Pro disassembler that will help you retain concentration and productivity during long reversing sessions. Python ida-sploiter IDA Sploiter is a plugin for Hex-Ray's IDA Pro disassembler designed to enhance IDA's capabilities as an exploit development and vulnerability research tool. Python pack PACK (Password Analysis and Cracking Kit) Python presentations None  seat Search Engine Assessment Tool JavaScript Perl CSS sslmap SSLMap - TLS/SSL cipher suite scanner. Python tor-autocircuit Automatically creates circuits and attaches streams according to predefined rules such as circuit geolocation, path length, etc. Python"
aszx87410," advent-of-code-2019 My partial solutions of Advent of Code 2019 in JavaScript JavaScript android_facebooksdk4.0_login_simple shows how to use facebook sdk 4.0 to login on android Java api-mocking-demo-app api-mocking-demo-app JavaScript HTML apkinfo.sh Get basic information of apk, the fastest way. Shell blog A tech blog about Front-end, JavaScript and Security  blog-demo blog-demo JavaScript CSS Nunjucks Shell blog.huli.tw https://blog.huli.tw HTML SCSS CSS JavaScript XSLT bug-bounty Glints Bug Bounty Program  cdnjs-prototype-pollution Find all libraries on cdn.js that pollute your prototype JavaScript HTML ctf-writeups ctf writeups  daily-notes 每日心得筆記  demo For storing various demo HTML Python JavaScript PHP esm-demo ESM demo HTML JavaScript express_demo None HTML JavaScript facebook_posts 抓自己 Facebook 上面的所有貼文 JavaScript HTML fb-bot 簡單 facebook 機器人小範例 JavaScript frontend-intermediate-course It's a free online course about some frontend tech including Ajax, CORS, gulp, webpack and so on. HTML git-demo123 None  huli-blog source code of the blog JavaScript HTML"
skandix," .dotfiles Evolution of my dotfiles, from nothing, to strange bash script, to even more stranger bash scripts, to Ansible <3 Vim Script Python Shell Makefile .nix-conf None Nix Python Vim Script Shell 4CS You want to monitor a thread for sick rumors in text, look for spicy leaks urls or just collect wallpapers or those ylyl gifs you can't get enough of Python amdgpu_stats a simple commandline tool to get info from AMD gpu's on linux Python ansible-playbooks personal collection of ansible playbooks  autoevent None Python Makefile Shell ctfhookup Script to Generate ""Custom"" ICS files and Notice about upcomming ctf Events through webhooks. Python DAT304-BachelorProject-Queueing_system_for_containerized_processing meant as an example for how to structure a LaTeX Document, this was me and my friend's bachelor thesis. TeX Shell Dockerfile docker-compose-collection My collection of docker-compose files i've made and that doesn't contain any sensetive information :joy:  Shell Dockerfile jz_program_embed this is a discord bot that checks if you post a javazone.no/program/ url, and then embeds the url into the discord Python klausinfra None  klauswunderlich.se project to learn some flask and to listen to some GOOD KLAUSWUNDERLICH, http://klauswunderlich.herokuapp.com/ HTML Python kodekalender None Python kopimi.datapor.no A site where one can share their own personal hand-ins for both old and new courses, to serve as an inspiration for students and others alike. Python LastAmp plexamp last fm scrobbler Python Shell Lurker Lurker Python MA-221 ma-221  NFcli homebrew api from netflix Python pizza-as-a-service None  rofi_scripts personalized scripts for rofi Python scripts collection of scripts that are to small or to niche to get its own repo Python C++ Shell Batchfile AutoHotkey"
hakatashi," --line-- __LINE__ for Node.js JavaScript AAify Make your texts AA! JavaScript AlphaRestorer Archive from my old development folder C++ alpine-lowjs 4MB Docker image of low.js with Alpine Linux Dockerfile aozora-ruby :stuck_out_tongue:青空文庫形式のルビ(を拡張したもの)を他形式に変換する:stuck_out_tongue: LiveScript aozora2vec None Jupyter Notebook api.hakatashi.com “Without API, life would be a mistake.” JavaScript HTML archive.hakatashi.com None Vue JavaScript HTML AsianBreak Line Break for East Asian People LiveScript AsianBreak-html Automatically strip breaklines from HTML for east asian people, based on new CSS3 spec of white-space property. LiveScript atcoder-auto-submitter Fully-automated AtCoder submitter backed by OpenAI Codex. Python Jinja Shell atcoder-diff-predictor None JavaScript Python AutomatedOekaki Archive from my old development folder C++ AutoTyphoon Auto request for typhoon CoffeeScript JavaScript base16-colors-scheme Base16 color scheme based on the Colors project (https://clrs.cc/) by @mrmrs "
joeminicucci," ansible-role-cobalt-strike Ansible role to install Cobalt Strike clients & teamservers  blog Joe's Blog  fox_trap A wireless mesh based Command and Control infrastructure for locating mobile rogue access points C++ Python C Shell netsparker-scan  A script to fire a Netsparker scan and periodically poll its progress, and report severity via the Netsparker API Python oscp-recon-scan A recon script for the OSCP exam which spawns multiple Gnome Terminals. Python Shell RedIra A cloud automation system for Red Teams based on Terraform and Ansible  HCL Jinja Smarty"
pawlaczyk, 30_days_of_python https://www.youtube.com/watch?v=RGor6fssp6c&list=PLEsfXFp6DpzQjDBvhNy5YbaBx9j-ZsUe6 Jupyter Notebook Python anki-clone None JavaScript HTML CSS app None JavaScript HTML CSS
msrkp," 51r1u5 Info  asnprobe Port scan on given asn list. Shell C-programs None C codeql_for_gadgets Codeql Queries for finding gadgets CodeQL ctf_writeups This repo contains some of the writeups of ctfs played by Team Invaders. Python Forth C Shell Rust Dockerfile PHP Go HTML Hack Makefile dotfiles None Vim Script electron-research Electron Research  exploits '>""><img src=x onerror=alert(1) /><b>asd</b> JavaScript Python format-string None C C++ Makefile MangoLeafOrNot-Binary-Classification-using-Keras Binary Classification(Mango Leaf/other) Python one-click-hugo-cms None SCSS HTML JavaScript PPScan Client Side Prototype Pollution Scanner JavaScript HTML rnn-from-scratch  RNN from Scratch. Python"
polkaa, dotfiles-conf Some dotfiles and configuration files Shell Vim Script
142y, 142y.github.io Notes Ruby HTML Learn-C My journey to the C world! C
VentressAsajj," AnilloTuitero None C++ ComandosLinux Una descripción de los comandos curiosos que tiene Linux, algunos muy útiles.  Doble-Factor-de-Autenticacion-2FA Howto para activar el doble factor de autenticación en ssh  download_with_tor None Python ESP8266-pHAT Uso de ESP8266 pHAT de Pimoroni con Raspberry Pi Zero Python FPGAs Mis proyectos de FPGAs  Hacking Notas sobre ""hackerismo"" :D  LCD_Matrix8x8_Zumbador_Leds None Arduino MakeyMakey Este proyecto comienza con la realización de un piano con pintura conductiva y arduino para terminar sustiuyendo el arduino por una fpga C++ C Malware Recopilación de enlaces para análisis de Malware. También se realizará descarga de automática, worlflows, de los feeds para crear un repositorio de feeds.  Nespresso Proyecto de reconocimiento capsulas de Nespresso con arduino C++ PaloAltoExternalDynamicList Listas dinámicas del Palo Alto. Roff Recursos_CTFs lista de recursos CTF Python DIGITAL Command Language searchFavicoShodan Busca en Shodan el hash del fichero favicon.ico. La busqueda la puede hacer en servicios ocultos. Python Servos_Joystick Uso de servos con el shield de arduino Arduino SplitFile split a file Python ssh2Telegram Enviando notificaciones de inicios sesión ssh a telegram Shell test None  VentressAsajj.github.io None HTML"
UbuntuStrike," cheat-sheets list of Cyber Security cheat sheets  CookieStealer.php A PHP script to run on your server to grab cookies through xss PHP CVE-2017-9805-Apache-Struts-Fuzz-N-Sploit A script to Fuzz and and exploit Apache struts CVE-2017-9805 Python DaVinci-Resolve-cheats helpful DaVinci resolve shortcuts and commands  not-so-evil-WinRM Just a plain WinRM Client to connect to Windows Remote Management from Linux Ruby OpSec-Package None Shell python-tools-BHPython None Python setup None Shell Str1k3-Tor-Router A script to automate the creation of a ""TOR"" router on Debian based systems including Raspberry Pi and install the required tools to do so. Shell struts_rest_rce_fuzz-CVE-2017-9805- Simple python script to fuzz site for CVE-2017-9805 Python test just testing something JavaScript PHP UbuntuStrike_64-with-intel-drivers Version of Strike with added intel graphics drivers Please download From Mega. This is just my custom pentest OS built on ubuntu 16.04 I thought d share with the world ! ENJOY :V  "
Sud0u53r, Exam-Panel-Flask A flask web application for conducting exams JavaScript SCSS Less CSS HTML Python PetProjects None Python Java SudokuIonicApp None TypeScript HTML SCSS JavaScript
Invaders0, CyberDen None JavaScript CSS PHP HTML Hack Python invaders0.github.io Team Invaders Page HTML CSS JavaScript xss xss test JavaScript
D1r3Wolf, CTF-writeups CTF writeups Python PHP Go InCTF-2018-Finals National(India) wide CTF compitition conducted by team bi0s. Python Shell Recurso-Disassembler Disassembler written in python to disassemble recurso bytecode file (.recc) Python Teckzite-2020-Admin-panel Web site used as Admin panel in Teckzite 2020 (Feb 13-15). HTML Python CSS JavaScript Shell
h0mbre, AudioCatcher None Python busychild a pstree mod that prints other helpful information and with added functionality Rust CTP-OSCE Scripts I used during CTP Python Dali None Python Fuzzing Repo for fuzzing projects C C++ Python h0mbre.github.io None SCSS HTML JavaScript Ruby Headless Wrapper around Ghidra's analyzeHeadless script Python ioctl.py None Python Learning-C A series of mini-projects used to learn C for beginners C Myth ADD/SUB encoder for alphanumeric shellcode C++ nantup None Rust Offset Helper script to deal with offsets when doing work in debuggers.  Python phpscan None Python rust64 A simplified base64 clone implemented in Rust for learning purposes Rust Scouter Port Scanning Script Python SLAE None Python Assembly C Summer_of_PWN None Python syscall None Python Windows-Exploits None C++ Python Assembly HTML
bigb0sss," all-about-appsec All About Application Security (AAAS) Python PHP C# TypeScript C++ Java C HTML all-about-bugbounty bugBounty Scripts Shell all-about-cloudsec All About Cloud Security (AACS)  ASM_Learning ASM Learning/Repositories Assembly Python C Bankai Another Go Shellcode Loader using Windows APIs Go bigb0ss-infosec-learning None Python Makefile Go JavaScript TypeScript HTML Java PowerShell Rust C# C Ruby CSS burp_websecurity code to use to solve burp web security training Python PHP CTF_HTB-Writeups-Scripts All my blogs for ExpDev, HTB, BinaryExploit, Etc. Python PowerShell JavaScript HTML gogophish Fly into Gophish with One Click (Infra Automation) Shell goPassGen Easily-guessable Password Generator for Password Spray Attack Go kurosaki-C2 Practicing Python-based C2 :) Python C++ LinkedinMama Linkedin Employee Profile Scrapper Python Microsoft365_devicePhish Phishing Abusing Microsoft 365 OAuth Authorization Flow Python npmHunter Simple Tool for npm Package Hunting Shell Python Offensive-Scripts Some Pentesting Scripts C# Shell Python OSCE Public Exploits + Extra-curriculum for OSCE Exam Preparation Python OSCP None C"
S3v3ru5, CTF-writeups CTF writeups Python Ruby Monkey Python Implementation of Monkey Interpreter Python S3v3ru5.github.io My jekyll website Python Sage SCSS HTML JavaScript Ruby solana-introduction-escrow None Rust Shell
Captain272, bloakchain-implementation It is a basic implementation of blockchain. HTML Python Captain272 IN PROCESS  cpp_code_base None C++ C Python Makefile cryptera_website This is a basic static website built for university event JavaScript HTML CSS Java ctfd-invaders None CSS JavaScript HTML Data_analyser None  E-voting-using-blockchain This is a DAPP built using Blockchain technology. And deployed in local virtual blockchain network ganache. CSS JavaScript HTML Python Solidity PHP Empty_parking_slot Detect the empty slots in the parking place Python Image-Denoising In this we have worked on image denoising using rednet and compared various networks. Jupyter Notebook PureBasic Python Initial-dev-offering Finds the perfect dev for your job Jupyter Notebook insta-bot The following re the features of the bot  Paint-app-using-canvas This a paint app made using canvas.  Paint-App-using-canvas- The app is to draw rectangles by dragging the mouse JavaScript CSS HTML Pollutant-data-collection-using-selenium This is collection of pollutant data from a website using selenium. The main gist of project is finding  the relation between amount of pollutants and number of corona cases in various regions in india. Jupyter Notebook Python profile This is the webite for showing my profile using githubpages. HTML CSS self_driving_car_using_reinforcement_learning this is a basic demonstration of self driving car using reinforcement learning in python using kivy Python Spark-Foundation these are work done in spark foundation Jupyter Notebook strawhat_intern None Rust To-do-app This is a simple to-do application HTML xcvhbjnm None 
